Date,AB,AGX,AIT,ALL_D,AMSWA,AMZA,AOS,APEN,APO,ARCC,ARRS,ARRY,ASCMA,AWF,BBT_E,BDX,BITA,BK_C,BKN,BZH,C_C,CBA,CCS,CDNS,CGA,CHCO,CHKE,CLAR,CLGX,COMM,CPS,CPST,CUBA,CUBI,EGF,ELLI,ENTG,ESRT,FATE,FF,FN,FUL,GATX,GCVRZ,GD,GLRE,GTN,HHS,HIMX,HSBC,HTBX,HUBG,HUM,HVT,INCR,JPM_B,JRO,JRS,KNOP,KYN,LION,MCN,MDLZ,MGEE,MIN,MITT,MNK,MS_A,MSF,MT,MTEM,NAO,NCZ,PBI,PEGA,PGZ,PHYS,PLAB,PMD,PMF,PMO,PRAH,PROV,RGS,RHI,RSO_C,SCD,SMSI,SNHY,SPN,SRV,TAX,TRI,TRIL,TWI,USLM,USPH,VIPS,VRTU,VVC,WDR,WPC,WRE,YGE,YUMA
2015-06-01,25.902,33.905,40.083,26.81,8.009,13.611,34.937,21.729,18.774,12.983,32.67,7.74,39.99,10.103,24.5,135.16,60.88,24.87,13.115,18.24,24.94,12.452,20.12,19.81,2.07,42.036,23.3,9.33,39.02,31.26,63.18,8.602,11.288,25.04,12.567,64.5,14.409,17.242,6.01,10.279,18.31,40.746,51.614,0.6998,133.61,30.44,16.36,5.7904,5.8122,40.567,6.3,43.07,211.45,19.189,35.15,26.5,9.512,9.1612,17.97,26.089,14.599,6.6078,38.991,36.678,3.8842,14.292,129.89,21.26,14.875,31.74,42.24,7.4738,5.7214,19.729,21.614,15.328,9.81,10.08,14.155,12.825,10.4,33.52,16.529,15.97,54.353,22.85,13.195,4.72,36.504,22.588,16.317,21.35,37.194,22.29,10.941,60.427,48.202,24.3,45.86,39.524,38.813,54.608,23.14,10.4,14.2
2015-06-02,25.552,33.923,40.263,26.81,8.018,13.667,34.624,22.03,18.876,13.06,33.18,7.73,40.85,10.111,24.44,134.86,60.19,24.9,13.106,18.24,24.86,12.476,19.87,19.95,2.06,42.775,23.73,9.53,39.15,31.745,62.5,10.4,10.992,25.73,12.558,63.83,14.109,17.139,5.98,10.436,18.28,40.804,51.984,0.68,133.94,30.57,16.38,5.8371,6.0443,40.832,6.49,42.71,211.27,19.179,35.92,26.52,9.528,9.2511,17.97,26.142,14.599,6.5998,39.098,36.174,3.8842,14.217,129.19,21.3,14.955,33.6,41.47,7.6678,5.7796,19.748,21.624,15.192,9.85,9.96,13.482,12.766,10.339,33.8,16.782,16.23,54.584,22.85,13.141,4.84,36.98,22.863,16.317,21.836,37.194,22.47,10.961,59.407,48.532,24.21,46.35,38.855,38.951,54.301,22.996,10.5,14.6
2015-06-03,25.805,34.902,40.576,26.783,8.2069,13.365,35.17,22.33,19.288,13.146,33.84,7.72,41.45,10.095,24.35,134.92,59.49,24.51,12.996,18.42,24.75,12.284,20.45,20.23,2.1,43.255,23.61,9.67,39.03,32.18,62.99,11.4,10.695,26.03,12.549,64.43,14.299,17.072,6.23,10.436,18.69,40.824,52.529,0.67,134.02,30.86,16.09,5.865,6.4528,40.934,6.35,43.0,210.16,19.371,36.79,26.42,9.536,9.1038,18.016,25.654,14.645,6.5918,39.318,35.755,3.8679,13.977,129.5,21.2,14.855,34.2,42.46,7.4738,5.7869,19.775,22.059,15.232,9.79,9.97,13.219,12.688,10.285,33.77,16.895,16.61,54.66,22.89,13.124,4.84,37.348,23.079,16.075,22.144,37.259,22.77,10.961,59.359,49.847,24.52,46.67,38.207,39.436,53.557,22.896,10.7,15.2
2015-06-04,25.464,34.446,40.424,26.84,8.234,13.002,34.761,22.33,19.154,13.015,33.82,7.64,40.03,10.079,24.4,134.57,58.6,24.62,12.996,18.09,24.8,12.077,20.24,20.13,2.11,42.598,23.3,9.49,38.77,31.96,62.21,11.2,10.657,25.63,12.522,63.87,14.309,16.996,6.17,10.482,18.66,39.971,52.474,0.67,132.39,30.32,15.53,5.7251,6.5085,40.558,6.51,42.79,209.56,19.234,36.21,26.48,9.536,8.9802,17.916,25.402,14.562,6.5524,38.735,35.46,3.8679,13.963,124.28,21.2,14.668,33.42,40.92,7.3723,5.6921,19.594,21.902,15.209,9.73,9.89,13.447,12.567,10.197,33.72,16.774,16.52,53.76,22.84,12.98,4.8,37.243,22.146,15.832,21.528,36.943,23.29,10.931,58.419,48.175,23.97,46.95,37.956,38.482,53.531,22.886,10.6,14.8
2015-06-05,25.683,35.176,40.708,26.75,8.2788,13.171,34.766,22.33,18.892,12.912,33.9,7.66,40.37,9.95,24.29,134.97,61.0,24.3,12.835,18.29,24.68,12.045,20.5,20.39,2.15,43.032,23.3,10.09,38.91,32.2,62.64,11.0,10.686,26.19,12.493,65.43,14.488,16.883,6.3,10.689,18.82,40.068,52.464,0.68,132.63,30.48,15.78,5.7066,6.5828,40.319,6.51,43.55,210.92,19.399,37.38,26.38,9.562,8.9232,17.702,25.8,14.599,6.5602,38.35,35.385,3.8275,13.775,126.07,21.15,14.57,32.88,41.47,7.3723,5.6921,19.676,22.119,15.5,9.68,10.18,13.528,12.454,10.164,33.97,16.835,16.64,54.076,22.9,12.893,4.76,37.437,22.608,15.832,21.519,36.666,24.86,11.15,59.457,48.009,24.56,47.82,37.332,38.87,52.693,22.815,13.1,14.6
2015-06-08,24.902,36.097,40.395,26.72,8.234,13.026,34.309,22.33,18.706,12.85,33.18,7.73,40.16,9.988,24.31,134.55,59.92,24.29,12.654,17.97,24.73,12.037,20.17,20.0,2.11,42.709,22.94,9.83,38.83,31.82,62.25,11.0,10.494,26.35,12.475,65.05,14.229,16.931,6.19,10.64,18.84,39.961,52.389,0.68,131.78,30.21,15.46,5.7251,6.6199,40.482,6.93,43.1,208.9,19.088,37.11,26.36,9.579,8.8658,17.641,25.555,14.599,6.5524,38.38,35.394,3.8358,13.701,124.32,21.15,14.678,32.61,41.8,7.2373,5.7357,19.63,21.99,15.5,9.72,10.23,13.199,12.125,10.121,34.04,16.687,16.57,53.864,22.88,12.893,5.08,37.67,22.461,15.713,21.448,36.116,25.52,11.11,58.751,47.619,23.8,48.4,37.137,38.902,52.394,22.824,12.2,14.6
2015-06-09,24.137,36.191,40.527,26.61,8.18,13.007,34.269,22.176,18.066,12.865,32.835,7.67,40.21,9.882,24.22,132.96,60.03,24.08,12.559,17.86,24.62,12.021,19.67,19.71,2.08,43.439,22.81,9.83,38.44,31.89,61.76,11.564,10.523,26.69,12.475,65.25,14.239,16.824,6.16,10.984,18.84,40.203,52.318,0.68,132.11,30.29,15.3,5.7158,6.4806,40.164,6.66,43.15,209.04,19.189,36.68,26.23,9.579,8.7527,17.694,25.326,14.599,6.5524,38.541,35.347,3.8197,13.613,122.97,21.13,14.609,33.03,40.92,7.2541,5.7324,19.487,22.01,15.536,9.72,10.19,13.399,12.074,10.121,34.81,16.643,16.51,53.961,22.82,12.756,5.0,37.477,22.019,15.713,21.311,36.042,24.3,10.901,58.379,47.638,23.62,48.68,37.12,39.559,52.411,22.498,11.5,13.8
2015-06-10,24.561,36.221,41.116,26.63,8.45,12.968,34.557,23.739,18.109,12.872,32.46,7.73,40.34,9.856,24.17,134.99,62.15,24.06,12.559,18.14,24.55,12.052,20.35,19.84,2.09,44.594,22.72,9.86,38.46,32.415,62.79,11.476,10.6,27.45,12.436,65.32,14.528,16.912,6.0,10.648,19.19,40.814,52.779,0.6573,134.84,30.77,15.23,5.7997,7.1677,40.652,6.97,43.58,210.98,19.845,37.44,26.222,9.545,8.8504,17.588,24.851,14.599,6.5918,38.686,35.765,3.7954,13.701,124.41,21.15,14.747,33.75,42.57,7.4314,5.5769,19.864,22.575,15.536,9.8,10.23,13.554,11.899,10.156,35.7,16.735,16.3,54.363,22.8,12.852,4.8,38.324,22.657,15.794,21.474,36.461,24.17,11.06,59.154,48.398,24.32,48.94,37.129,39.858,52.634,22.679,11.7,14.0
2015-06-11,25.219,37.388,40.851,26.59,8.513,12.95,35.481,23.177,18.152,12.876,32.145,7.73,40.85,9.856,24.24,135.79,60.29,24.24,12.59,18.08,24.73,11.972,20.35,19.75,2.11,44.554,23.59,9.65,38.54,31.17,63.0,11.8,10.475,27.02,12.407,65.01,14.438,17.03,6.0,10.878,19.48,40.814,53.534,0.685,135.53,30.88,15.16,5.921,7.0748,40.567,7.24,43.7,210.71,20.255,37.91,26.25,9.539,8.8504,17.588,24.678,14.731,6.5998,38.676,36.258,3.8197,13.911,126.29,21.16,14.767,32.79,43.34,7.3217,5.4808,20.008,22.655,15.694,9.74,10.27,13.237,11.969,10.225,35.28,16.745,16.45,54.68,22.83,12.852,4.84,38.186,22.598,15.671,21.646,36.59,24.43,11.031,59.115,48.892,24.28,48.8,37.565,40.126,52.89,22.671,12.9,13.6
2015-06-12,25.283,37.567,40.918,26.53,8.6029,12.907,35.604,21.56,18.042,12.897,32.32,7.56,40.88,9.827,24.16,134.58,62.12,24.19,12.643,18.41,24.79,11.926,20.48,19.85,2.36,44.222,26.1,9.38,38.68,31.12,62.8,11.4,10.331,26.88,12.489,64.91,14.329,17.068,6.09,10.754,19.44,40.64,53.412,0.7,135.35,30.64,15.3,5.865,7.5856,40.55,7.23,43.39,209.04,20.19,37.65,26.32,9.4756,8.7909,17.665,24.831,14.599,6.5918,38.782,36.04,3.8037,13.911,124.0,21.15,14.795,32.61,44.88,7.3217,5.4808,19.603,22.456,15.779,9.75,10.1,13.409,12.1,10.285,34.92,16.735,16.33,54.151,22.876,12.78,4.96,38.02,22.215,15.631,21.863,36.145,23.32,10.702,58.3,48.719,25.35,48.63,36.969,39.598,52.882,22.899,12.4,13.6
